X,Y,Conductivity 16 kHz,TIME
-109.2981716,-27.0882883,2471.971,26:03.8
-109.2981716,-27.0882883,2449.442,26:04.2
-109.2981716,-27.0882883,2430.271,26:04.8
-109.29817,-27.0882883,2406.117,26:05.3
-109.29817,-27.0882883,2390.324,26:05.8
-109.29817,-27.0882883,2376.206,26:06.3
-109.29817,-27.0882866,2370.153,26:06.8
-109.29817,-27.0882866,2370.504,26:07.3
-109.29817,-27.0882866,2374.516,26:07.8
-109.29817,-27.0882866,2382.316,26:08.3
-109.2981716,-27.0882866,2388.776,26:08.8
-109.2981716,-27.0882866,2398.184,26:09.3
-109.2981716,-27.0882866,2409.194,26:09.8
-109.2981716,-27.0882866,2424.866,26:10.3
-109.2981716,-27.0882866,2443.987,26:10.8
-109.2981716,-27.0882866,2460.824,26:11.3
-109.2981716,-27.0882866,2475.458,26:11.7
-109.2981716,-27.0882866,2482.329,26:12.3
-109.29817,-27.0882866,2487.507,26:12.8
-109.29817,-27.0882866,2488.778,26:13.3
-109.29817,-27.0882866,2489.792,26:13.8
-109.29817,-27.0882866,2486.84,26:14.3
-109.2981683,-27.0882866,2478.982,26:14.8
-109.2981683,-27.0882866,2467.074,26:15.3
-109.2981666,-27.0882866,2453.781,26:15.8
-109.2981666,-27.0882866,2438.192,26:16.3
-109.298165,-27.0882866,2425.693,26:16.8
-109.298165,-27.0882866,2415.418,26:17.3
-109.298165,-27.0882866,2410.108,26:17.8
-109.298165,-27.0882866,2405.494,26:18.3
-109.2981633,-27.0882866,2402.223,26:18.8
-109.2981633,-27.0882866,2400.923,26:19.3
-109.2981633,-27.0882866,2402.11,26:19.8
-109.2981633,-27.0882866,2405.036,26:20.3
-109.2981633,-27.0882866,2412.528,26:20.8
-109.2981633,-27.0882866,2421.878,26:21.3
-109.2981633,-27.0882866,2432.358,26:21.8
-109.2981633,-27.0882866,2438.608,26:22.3
-109.2981633,-27.0882866,2442.898,26:22.8
-109.2981633,-27.0882866,2445.566,26:23.3
-109.2981633,-27.0882866,2446.839,26:23.8
-109.2981633,-27.0882866,2447.171,26:24.3
-109.2981633,-27.0882866,2445.726,26:24.8
-109.2981633,-27.0882866,2444.743,26:25.3
