X,Y,Conductivity 16 kHz,TIME
-109.2981633,-27.0882766,2540.734,30:16.8
-109.2981633,-27.0882766,2523.479,30:17.3
-109.2981616,-27.088275,2504.453,30:17.8
-109.2981616,-27.088275,2482.341,30:18.3
-109.2981616,-27.0882716,2462.725,30:18.8
-109.2981616,-27.0882716,2449.731,30:19.3
-109.2981633,-27.0882733,2450.402,30:19.8
-109.2981633,-27.0882733,2462.047,30:20.3
-109.2981616,-27.0882766,2481.189,30:20.8
-109.2981616,-27.0882766,2510.027,30:21.3
-109.29816,-27.0882816,2549.882,30:21.8
-109.29816,-27.0882816,2593.662,30:22.3
-109.29816,-27.08828325,2630.469,30:22.8
-109.29816,-27.0882849,2649.087,30:23.3
-109.29816,-27.0882849,2659.437,30:23.8
-109.2981616,-27.0882849,2659.247,30:24.3
-109.2981616,-27.0882833,2658.175,30:24.8
-109.2981616,-27.0882833,2653.705,30:25.3
-109.2981608,-27.0882833,2649.003,30:25.8
-109.29816,-27.0882833,2642.954,30:26.3
-109.29816,-27.0882833,2634.4,30:26.8
-109.2981566,-27.0882816,2627.645,30:27.3
-109.2981566,-27.0882816,2621.07,30:27.7
-109.298155,-27.0882833,2616.692,30:28.3
-109.2981542,-27.08828245,2609.912,30:28.8
-109.2981533,-27.0882816,2600.874,30:29.3
-109.2981533,-27.0882816,2586.943,30:29.8
-109.2981516,-27.0882816,2571.027,30:30.3
-109.2981516,-27.0882816,2555.754,30:30.8
-109.2981499,-27.0882816,2542.834,30:31.3
-109.2981499,-27.0882816,2536.359,30:31.7
-109.2981499,-27.0882783,2534.181,30:32.2
-109.2981499,-27.0882783,2535.418,30:32.8
-109.2981483,-27.0882733,2532.815,30:33.3
-109.2981483,-27.0882733,2533.032,30:33.8
-109.2981466,-27.0882733,2540.979,30:34.3
-109.298145,-27.0882716,2561.669,30:34.8
-109.298145,-27.0882716,2581.927,30:35.3
-109.298145,-27.0882716,2595.597,30:35.8
-109.298145,-27.0882716,2601.462,30:36.2
-109.2981433,-27.08827,2605.211,30:36.8
-109.2981433,-27.08827,2609.28,30:37.3
-109.298145,-27.0882716,2612.916,30:37.8
-109.298145,-27.0882716,2617.561,30:38.3
-109.298145,-27.088275,2621.872,30:38.8
-109.298145,-27.088275,2622.905,30:39.3
-109.298145,-27.088275,2618.181,30:39.8
-109.298145,-27.088275,2607.346,30:40.3
-109.298145,-27.088275,2600.744,30:40.8
-109.298145,-27.088275,2604.809,30:41.3
-109.2981483,-27.0882733,2619.976,30:41.8
-109.2981483,-27.0882733,2631.366,30:42.3
-109.2981483,-27.0882733,2637.729,30:42.8
-109.2981483,-27.0882733,2639.457,30:43.3
-109.2981516,-27.088275,2648.465,30:43.8
-109.2981516,-27.088275,2658.12,30:44.2
-109.2981516,-27.0882766,2672.165,30:44.8
-109.2981516,-27.0882766,2682.747,30:45.3
-109.2981516,-27.0882783,2695.905,30:45.8
-109.2981516,-27.0882783,2703.093,30:46.3
-109.2981499,-27.0882783,2706.743,30:46.8
-109.2981499,-27.0882783,2701.784,30:47.3
-109.2981433,-27.0882766,2694.091,30:47.8
-109.2981433,-27.0882766,2684.683,30:48.3
-109.29814,-27.0882766,2673.532,30:48.8
-109.29814,-27.0882766,2663.139,30:49.3
-109.29814,-27.0882783,2652.797,30:49.8
-109.29814,-27.0882783,2646.73,30:50.3
-109.2981383,-27.08828,2638.446,30:50.8
-109.2981383,-27.08828,2622.672,30:51.3
-109.298135,-27.08828,2602.075,30:51.8
-109.298135,-27.08828,2582.893,30:52.3
-109.2981316,-27.0882783,2577.063,30:52.8
-109.2981316,-27.0882783,2584.471,30:53.3
-109.29813,-27.0882783,2604.028,30:53.8
-109.29813,-27.0882783,2630.136,30:54.4
-109.2981266,-27.0882766,2649.782,30:54.8
-109.2981266,-27.0882766,2661.425,30:55.3
-109.298125,-27.08828,2665.924,30:55.8
-109.298125,-27.08828,2676.785,30:56.3
-109.298125,-27.08828,2692.815,30:56.8
-109.298125,-27.08828,2713.186,30:57.3
-109.2981233,-27.0882808,2732.869,30:57.8
-109.2981216,-27.0882816,2753.313,30:58.3
-109.2981216,-27.0882816,2774.439,30:58.8
-109.2981183,-27.0882816,2800.963,30:59.2
-109.2981183,-27.0882816,2831.822,30:59.8
-109.2981133,-27.0882816,2868.729,31:00.3
-109.2981117,-27.0882808,2907,31:00.8
-109.29811,-27.08828,2947.555,31:01.3
-109.29811,-27.08828,2984.973,31:01.8
-109.2981016,-27.08828,3018.189,31:02.3
-109.2981016,-27.08828,3029.159,31:02.8
-109.2980966,-27.08828,3027.008,31:03.3
-109.2980933,-27.08828,3015.161,31:03.8
-109.29809,-27.08828,3031.553,31:04.3
-109.29809,-27.08828,3062.496,31:04.8
-109.2980833,-27.08828,3099.692,31:05.3
-109.2980833,-27.08828,3120.094,31:05.8
-109.2980766,-27.0882816,3128.954,31:06.3
-109.2980766,-27.0882816,3132.789,31:06.8
-109.2980683,-27.0882816,3131.115,31:07.3
-109.2980616,-27.08828,3123.495,31:07.8
-109.2980616,-27.08828,3113.352,31:08.3
-109.298055,-27.0882783,3105.827,31:08.8
-109.298055,-27.0882783,3100.564,31:09.3
-109.29805,-27.0882766,3099.607,31:09.8
-109.29805,-27.0882766,3094.949,31:10.3
-109.298045,-27.0882733,3097.227,31:10.8
-109.298045,-27.0882733,3093.354,31:11.3
-109.29804,-27.08827,3093.324,31:11.8
-109.29804,-27.08827,3089.525,31:12.3
-109.2980366,-27.0882683,3089.432,31:12.8
-109.2980366,-27.0882683,3086.714,31:13.3
-109.29803,-27.08826,3089.287,31:13.8
-109.29803,-27.08826,3097.359,31:14.3
-109.2980233,-27.0882466,3106.284,31:14.8
-109.2980233,-27.0882466,3109.495,31:15.3
-109.298015,-27.088235,3101.269,31:15.8
-109.298015,-27.088235,3095.757,31:16.3
-109.2980066,-27.0882233,3090.554,31:16.8
-109.2980066,-27.0882233,3090.121,31:17.3
-109.2979983,-27.0882183,3092.882,31:17.8
-109.2979983,-27.0882183,3091.601,31:18.3
-109.2979916,-27.0882083,3091.691,31:18.7
-109.2979916,-27.0882083,3086.405,31:19.3
-109.297985,-27.0881983,3087.85,31:19.8
-109.297985,-27.0881983,3091.81,31:20.3
-109.2979783,-27.0881883,3092.112,31:20.8
-109.2979783,-27.0881883,3091.68,31:21.3
-109.297975,-27.0881816,3085.849,31:21.8
-109.297975,-27.0881816,3086.551,31:22.3
-109.2979733,-27.08817745,3086.945,31:22.8
-109.2979716,-27.0881733,3096.614,31:23.2
-109.2979716,-27.0881733,3102.977,31:23.8
-109.2979683,-27.088165,3106.044,31:24.3
-109.297965,-27.0881583,3100.999,31:24.8
-109.297965,-27.0881583,3098.943,31:25.3
-109.2979642,-27.0881533,3093.939,31:25.8
-109.2979633,-27.0881483,3090.192,31:26.3
-109.2979633,-27.0881483,3090.537,31:26.8
-109.29796,-27.08814,3100.408,31:27.2
-109.29796,-27.08814,3110.137,31:27.8
-109.2979583,-27.0881316,3112.296,31:28.3
-109.2979575,-27.0881258,3105.008,31:28.8
-109.2979566,-27.08812,3100.934,31:29.3
-109.2979566,-27.08812,3096.881,31:29.8
-109.2979533,-27.0881066,3105.713,31:30.3
-109.2979525,-27.0881008,3103.15,31:30.8
-109.2979516,-27.088095,3105.737,31:31.2
-109.2979516,-27.088095,3093.471,31:31.8
-109.2979483,-27.08808,3096.786,31:32.3
-109.2979483,-27.08808,3092.969,31:32.9
-109.297945,-27.0880666,3096.582,31:33.4
-109.2979433,-27.0880591,3097.329,31:33.8
-109.2979416,-27.0880516,3098.864,31:34.2
-109.2979416,-27.0880516,3098.988,31:34.8
-109.29794,-27.0880366,3094.234,31:35.3
-109.29794,-27.0880366,3098.308,31:35.8
-109.2979366,-27.0880183,3102.794,31:36.3
-109.2979366,-27.0880183,3105.081,31:36.8
-109.2979333,-27.0880033,3102.166,31:37.3
-109.2979317,-27.08799495,3100.241,31:37.8
-109.29793,-27.0879866,3102.406,31:38.3
-109.29793,-27.0879866,3104.319,31:38.8
-109.297925,-27.0879716,3108.644,31:39.3
-109.297925,-27.0879716,3113.073,31:39.8
-109.29792,-27.0879533,3112.193,31:40.3
-109.2979166,-27.0879383,3104.327,31:40.8
-109.2979166,-27.0879383,3099.553,31:41.3
-109.2979116,-27.087925,3094.146,31:41.8
-109.2979116,-27.087925,3099.691,31:42.2
-109.297905,-27.08791,3094.373,31:42.8
-109.297905,-27.08791,3104.803,31:43.3
-109.2979,-27.087895,3105.256,31:43.8
-109.2979,-27.087895,3106.914,31:44.3
-109.297895,-27.08788,3099.764,31:44.8
-109.297895,-27.08788,3092.794,31:45.3
-109.29789,-27.0878633,3086.363,31:45.8
-109.29789,-27.0878633,3078.521,31:46.2
-109.2978833,-27.0878466,3068.803,31:46.8
-109.2978833,-27.0878466,3070.795,31:47.3
-109.2978783,-27.0878316,3065.91,31:47.8
-109.2978783,-27.0878316,3069.993,31:48.3
-109.2978716,-27.087815,3069.015,31:48.8
-109.2978716,-27.087815,3073.179,31:49.3
-109.297865,-27.0878,3070.236,31:49.7
-109.297865,-27.0878,3062.35,31:50.3
-109.29786,-27.0877866,3061.286,31:50.8
-109.29786,-27.0877866,3055.511,31:51.3
-109.2978533,-27.0877733,3055.321,31:51.8
-109.2978533,-27.0877733,3051.929,31:52.3
-109.2978466,-27.0877583,3065.161,31:52.8
-109.2978466,-27.0877583,3070.931,31:53.3
-109.29784,-27.08774,3075.312,31:53.8
-109.29784,-27.08774,3064.168,31:54.3
-109.2978333,-27.0877266,3057.203,31:54.8
-109.2978333,-27.0877266,3046.65,31:55.3
-109.2978266,-27.0877116,3044.103,31:55.8
-109.2978266,-27.0877116,3047.631,31:56.3
-109.29782,-27.0876966,3050.615,31:56.8
-109.29782,-27.0876966,3051.99,31:57.3
-109.2978133,-27.0876833,3043.345,31:57.8
-109.2978133,-27.0876833,3038.387,31:58.3
-109.297805,-27.0876666,3030.996,31:58.8
-109.297805,-27.0876666,3034.904,31:59.3
-109.2977983,-27.0876516,3041.793,31:59.8
-109.2977983,-27.0876516,3061.463,32:00.3
-109.2977941,-27.0876441,3067.315,32:00.8
-109.2977899,-27.0876366,3073.24,32:01.2
-109.2977899,-27.0876366,3069.778,32:01.8
-109.2977816,-27.08762,3080.942,32:02.3
-109.2977716,-27.0876016,3089.599,32:02.8
-109.2977716,-27.0876016,3095.343,32:03.3
-109.2977666,-27.0875916,3090.788,32:03.8
-109.2977616,-27.0875816,3083.538,32:04.3
-109.2977616,-27.0875816,3078.372,32:04.8
-109.2977516,-27.0875616,3078.819,32:05.3
-109.2977416,-27.08754,3072.93,32:05.8
-109.2977416,-27.08754,3070.306,32:06.3
-109.2977366,-27.0875275,3067.73,32:06.8
-109.2977316,-27.087515,3084.088,32:07.3
-109.2977316,-27.087515,3088.474,32:07.8
-109.29772,-27.08749,3095.381,32:08.3
-109.29772,-27.08749,3084.372,32:08.8
-109.2977116,-27.0874683,3089.318,32:09.2
-109.2977116,-27.0874683,3083.107,32:09.8
-109.2977016,-27.0874483,3085.278,32:10.3
-109.2977016,-27.0874483,3067.265,32:10.8
-109.2976916,-27.0874266,3055.237,32:11.3
-109.2976916,-27.0874266,3047.494,32:11.8
-109.2976833,-27.0874066,3062.647,32:12.3
-109.2976833,-27.0874066,3065.8,32:12.8
-109.2976733,-27.0873883,3064.2,32:13.3
-109.297665,-27.0873683,3045.775,32:13.8
-109.297665,-27.0873683,3051.534,32:14.3
-109.2976566,-27.0873466,3053.549,32:14.8
-109.2976566,-27.0873466,3060.911,32:15.3
-109.29765,-27.087325,3058.638,32:15.8
-109.29765,-27.087325,3065.909,32:16.3
-109.2976416,-27.0873016,3081.915,32:16.8
-109.2976416,-27.0873016,3077.666,32:17.3
-109.297635,-27.0872766,3068.699,32:17.8
-109.297635,-27.0872766,3044.285,32:18.3
-109.2976266,-27.0872516,3055.357,32:18.8
-109.2976266,-27.0872516,3055.907,32:19.3
-109.2976183,-27.087225,3074.523,32:19.8
-109.2976183,-27.087225,3069.416,32:20.3
-109.2976099,-27.0872,3078.954,32:20.8
-109.2976099,-27.0872,3072.778,32:21.3
-109.2976033,-27.0871733,3073.015,32:21.8
-109.2976033,-27.0871733,3068.918,32:22.3
-109.2975966,-27.0871483,3065.31,32:22.8
-109.2975966,-27.0871483,3070.732,32:23.3
-109.29759,-27.0871233,3060.735,32:23.8
-109.29759,-27.0871233,3062.903,32:24.3
-109.2975833,-27.0871,3053.52,32:24.7
-109.2975833,-27.0871,3070.886,32:25.3
-109.2975766,-27.087075,3076.463,32:25.8
-109.2975766,-27.087075,3075.075,32:26.3
-109.29757,-27.0870516,3064.294,32:26.8
-109.29757,-27.0870516,3065.391,32:27.3
-109.2975633,-27.0870266,3080.215,32:27.8
-109.2975633,-27.0870266,3089.093,32:28.3
-109.297555,-27.0870033,3088.114,32:28.8
-109.297555,-27.0870033,3083.741,32:29.3
-109.2975466,-27.0869783,3077.026,32:29.8
-109.2975466,-27.0869783,3074.552,32:30.3
-109.2975366,-27.0869533,3074.35,32:30.8
-109.2975366,-27.0869533,3081.765,32:31.3
-109.2975266,-27.0869283,3084.824,32:31.8
-109.2975266,-27.0869283,3079.079,32:32.3
-109.2975166,-27.0869033,3064.263,32:32.8
-109.2975166,-27.0869033,3054.377,32:33.3
-109.2975083,-27.0868799,3047.736,32:33.8
-109.2975083,-27.0868799,3045.846,32:34.3
-109.297505,-27.08686825,3046.259,32:34.8
-109.2975016,-27.0868566,3061.159,32:35.3
-109.2975016,-27.0868566,3080.089,32:35.8
-109.2974933,-27.0868333,3102.488,32:36.3
-109.297485,-27.0868083,3095.025,32:36.8
-109.297485,-27.0868083,3110.208,32:37.3
-109.2974808,-27.0867958,3099.924,32:37.8
-109.2974766,-27.0867833,3115.872,32:38.3
-109.2974766,-27.0867833,3095.044,32:38.8
-109.2974683,-27.08676,3091.326,32:39.3
-109.2974683,-27.08676,3087.25,32:39.8
-109.29746,-27.0867366,3074.379,32:40.3
-109.2974558,-27.0867258,3070.998,32:40.8
-109.2974516,-27.086715,3052.723,32:41.3
-109.2974516,-27.086715,3076.261,32:41.8
-109.2974466,-27.0866916,3086.48,32:42.3
-109.2974466,-27.0866916,3101.171,32:42.8
-109.29744,-27.0866683,3093.207,32:43.3
-109.29744,-27.0866683,3092.191,32:43.8
-109.297435,-27.086645,3097.838,32:44.3
-109.297435,-27.086645,3096.433,32:44.8
-109.2974283,-27.0866216,3092.833,32:45.3
-109.2974283,-27.0866216,3084.645,32:45.8
-109.2974233,-27.0865983,3081.452,32:46.3
-109.2974166,-27.086575,3088.901,32:46.8
-109.2974166,-27.086575,3083.346,32:47.3
-109.2974083,-27.08655,3083.086,32:47.8
-109.2974083,-27.08655,3064.835,32:48.3
-109.2974016,-27.086525,3060.212,32:48.8
-109.2974016,-27.086525,3068.15,32:49.3
-109.2973966,-27.0865016,3082.704,32:49.8
-109.2973966,-27.0865016,3094.8,32:50.3
-109.29739,-27.0864783,3085.156,32:50.8
-109.29739,-27.0864783,3075.616,32:51.3
-109.297385,-27.0864533,3074.85,32:51.8
-109.297385,-27.0864533,3086.116,32:52.3
-109.29738,-27.0864283,3092.709,32:52.8
-109.29738,-27.0864283,3101.527,32:53.3
-109.2973733,-27.0864033,3105.171,32:53.8
-109.2973733,-27.0864033,3110.944,32:54.3
-109.2973683,-27.0863783,3105.056,32:54.8
-109.2973683,-27.0863783,3101.722,32:55.3
-109.2973633,-27.086355,3100.833,32:55.8
-109.2973633,-27.086355,3102.236,32:56.3
-109.2973566,-27.08633,3095.982,32:56.8
-109.2973566,-27.08633,3103.463,32:57.3
-109.2973483,-27.086305,3104.44,32:57.8
-109.2973483,-27.086305,3119.965,32:58.3
-109.2973416,-27.08628,3115.978,32:58.8
-109.2973416,-27.08628,3130.455,32:59.3
-109.2973333,-27.0862566,3132.665,32:59.8
-109.2973333,-27.0862566,3127.667,33:00.3
-109.297325,-27.0862333,3109.088,33:00.8
-109.297325,-27.0862333,3091.626,33:01.3
-109.2973183,-27.08621,3094.553,33:01.8
-109.2973183,-27.08621,3084.811,33:02.3
-109.2973133,-27.0861866,3074.046,33:02.8
-109.2973133,-27.0861866,3061.299,33:03.3
-109.2973083,-27.0861633,3068.625,33:03.8
-109.2973083,-27.0861633,3087.773,33:04.3
-109.2973033,-27.08614,3104.025,33:04.8
-109.2973033,-27.08614,3114.983,33:05.3
-109.2973,-27.0861275,3117.442,33:05.8
-109.2972966,-27.086115,3117.487,33:06.3
-109.2972966,-27.086115,3112.734,33:06.8
-109.29729,-27.08609,3098.583,33:07.3
-109.2972833,-27.0860633,3097.57,33:07.8
-109.2972833,-27.0860633,3092.117,33:08.3
-109.2972808,-27.0860508,3101.18,33:08.8
-109.2972783,-27.0860383,3084.062,33:09.3
-109.2972783,-27.0860383,3084.594,33:09.8
-109.297275,-27.0860116,3089.663,33:10.3
-109.297275,-27.0860116,3110.557,33:10.8
-109.2972716,-27.0859883,3125.384,33:11.3
-109.29727,-27.0859633,3126.416,33:11.8
-109.29727,-27.0859633,3119.838,33:12.3
-109.2972692,-27.0859508,3129.146,33:12.8
-109.2972683,-27.0859383,3133.575,33:13.3
-109.2972683,-27.0859383,3130.4,33:13.8
-109.2972666,-27.0859133,3099.251,33:14.3
-109.2972666,-27.0859133,3080.637,33:14.8
-109.2972683,-27.08589,3096.918,33:15.3
-109.29727,-27.0858783,3102.458,33:15.8
-109.2972716,-27.0858666,3098.736,33:16.3
-109.2972716,-27.0858666,3072.358,33:16.8
-109.297275,-27.085845,3080.647,33:17.3
-109.297275,-27.085845,3098.508,33:17.9
-109.2972783,-27.0858233,3113.77,33:18.3
-109.2972816,-27.0858,3110.984,33:18.8
-109.2972816,-27.0858,3099.966,33:19.3
-109.297285,-27.0857783,3094.321,33:19.8
-109.297285,-27.0857783,3085.34,33:20.3
-109.2972866,-27.0857533,3095.396,33:20.8
-109.2972866,-27.0857533,3104.073,33:21.4
-109.29729,-27.0857283,3126.496,33:21.8
-109.29729,-27.0857283,3125.001,33:22.3
-109.2972933,-27.0857033,3112.453,33:22.8
-109.2972933,-27.0857033,3096.933,33:23.3
-109.2972966,-27.0856766,3095.607,33:23.8
-109.2972966,-27.0856766,3111.044,33:24.3
-109.2973033,-27.0856533,3127.362,33:24.8
-109.2973033,-27.0856533,3139.69,33:25.3
-109.29731,-27.08563,3140.816,33:25.8
-109.29731,-27.08563,3137.598,33:26.3
-109.2973166,-27.0856066,3132.062,33:26.8
-109.2973166,-27.0856066,3125.309,33:27.3
-109.2973266,-27.0855866,3108.642,33:27.8
-109.2973266,-27.0855866,3091.159,33:28.3
-109.2973383,-27.0855666,3098.17,33:28.8
-109.2973383,-27.0855666,3095.349,33:29.4
-109.2973516,-27.0855483,3097.863,33:29.8
-109.2973516,-27.0855483,3079.885,33:30.3
-109.297365,-27.08553,3108.031,33:30.8
-109.297365,-27.08553,3133.835,33:31.3
-109.2973783,-27.0855116,3162.855,33:31.8
-109.2973783,-27.0855116,3168.539,33:32.3
-109.2973933,-27.0854916,3164.344,33:32.8
-109.2973933,-27.0854916,3151.216,33:33.3
-109.2974066,-27.0854716,3128.916,33:33.8
-109.2974066,-27.0854716,3116.8,33:34.3
-109.2974216,-27.0854533,3108.831,33:34.8
-109.2974216,-27.0854533,3091.849,33:35.3
-109.2974366,-27.0854366,3077.35,33:35.8
-109.2974366,-27.0854366,3070.107,33:36.3
-109.29745,-27.08542,3101.639,33:36.8
-109.29745,-27.08542,3130.743,33:37.3
-109.2974666,-27.0854066,3150.145,33:37.8
-109.2974666,-27.0854066,3132.928,33:38.3
-109.2974833,-27.0853933,3111.309,33:38.8
-109.2974833,-27.0853933,3101.804,33:39.3
-109.2974983,-27.0853766,3105.909,33:39.8
-109.2974983,-27.0853766,3121.537,33:40.3
-109.2975058,-27.08536995,3132.66,33:40.8
-109.2975133,-27.0853633,3148.109,33:41.3
-109.2975133,-27.0853633,3152.448,33:41.8
-109.2975283,-27.0853483,3153.462,33:42.3
-109.297545,-27.0853333,3145.142,33:42.8
-109.297545,-27.0853333,3135.198,33:43.3
-109.2975533,-27.08532495,3118.476,33:43.8
-109.2975616,-27.0853166,3107.254,33:44.3
-109.2975616,-27.0853166,3100.765,33:44.8
-109.2975766,-27.0853,3116.317,33:45.3
-109.2975933,-27.0852833,3124.265,33:45.8
-109.2975933,-27.0852833,3138.765,33:46.3
-109.2976016,-27.0852758,3141.414,33:46.8
-109.2976099,-27.0852683,3149.759,33:47.3
-109.2976099,-27.0852683,3146.094,33:47.8
-109.2976283,-27.085255,3131.491,33:48.3
-109.2976283,-27.085255,3112.906,33:48.8
-109.2976466,-27.08524,3106.687,33:49.3
-109.2976616,-27.0852216,3108.625,33:49.8
-109.2976616,-27.0852216,3139.197,33:50.3
-109.2976783,-27.0852033,3155.924,33:50.8
-109.2976783,-27.0852033,3166.451,33:51.3
-109.2976966,-27.0851866,3139.149,33:51.8
-109.2976966,-27.0851866,3116.11,33:52.3
-109.2977133,-27.0851683,3104.138,33:52.8
-109.2977133,-27.0851683,3107.604,33:53.3
-109.29773,-27.0851516,3115.088,33:53.8
-109.29773,-27.0851516,3120.969,33:54.3
-109.29775,-27.085135,3114.709,33:54.8
-109.29775,-27.085135,3108.851,33:55.3
-109.29777,-27.0851216,3101.036,33:55.8
-109.29777,-27.0851216,3117.239,33:56.3
-109.2977899,-27.0851083,3130.934,33:56.8
-109.2977899,-27.0851083,3151.672,33:57.3
-109.2978083,-27.085095,3144.041,33:57.8
-109.2978083,-27.085095,3140.385,33:58.3
-109.2978266,-27.08508,3118.257,33:58.8
-109.2978266,-27.08508,3119.113,33:59.3
-109.297845,-27.0850666,3116.138,33:59.8
-109.297845,-27.0850666,3136.214,34:00.3
-109.297865,-27.08505,3145.966,34:00.8
-109.297865,-27.08505,3146.402,34:01.3
-109.2978816,-27.085035,3127.243,34:01.8
-109.2978816,-27.085035,3113.621,34:02.3
-109.2979,-27.08502,3116.133,34:02.8
